usc,time,del1,del2,del3,stanford
Play-by-Play,,,,,
Stanford vs USC,,,,,
1/22/16 8:00 PM at Los Angeles Calif. (Galen,Center),,,,
,,,,,
1st PERIOD Play-by-Play (Page 1),,,,,
HOME TEAM: USC,TIME,SCORE,M,AR,VISITORS: Stanford
----------------------------------------------,--------,------,---,--,-------------------------------
MISSED LAYUP by Fagbenle Temi,0.409722222,,,,BLOCK by Johnson Kailee
REBOUND (OFF) by Fagbenle Temi,0.406944444,,,,
GOOD! LAYUP by Fagbenle Temi [PNT],0.404861111,36557,H,2,
STEAL by Mazyck Aliyah,0.401388889,,,,TURNOVR by Sniezek Marta
GOOD! LAYUP by Fagbenle Temi [PNT],0.393055556,36617,H,4,
ASSIST by Simon Kristen,0.393055556,,,,
FOUL by Edwards Sadie (P1T1),0.383333333,42461,H,3,GOOD! FT SHOT by Johnson Kailee
REBOUND (DEF) by Simon Kristen,0.383333333,,,,MISSED FT SHOT by Johnson Kailee
MISSED FT SHOT by Fagbenle Temi,0.377083333,,,,FOUL by Johnson Kailee (P1T1)
REBOUND (OFF) by (DEADBALL),0.377083333,,,,
GOOD! FT SHOT by Fagbenle Temi,0.377083333,42491,H,4,
,0.367361111,,,,TURNOVR by Thompson Lili
,0.367361111,,,,SUB IN : Johnson Kaylee
,0.367361111,,,,SUB OUT: Johnson Kailee
MISSED LAYUP by Edwards Sadie,0.352777778,,,,REBOUND (DEF) by Thompson Lili
,0.347916667,42494,H,1,GOOD! 3 PTR by Samuelson Karlie [FB]
,0.347916667,,,,ASSIST by Thompson Lili
MISSED LAYUP by Mazyck Aliyah,0.340277778,,,,REBOUND (DEF) by Johnson Kaylee
STEAL by Mazyck Aliyah,0.338194444,,,,TURNOVR by Johnson Kaylee
TURNOVR by Mazyck Aliyah,0.3375,,,,
,0.336805556,,,,STEAL by McCall Erica
,0.325,42496,V,1,GOOD! JUMPER by Thompson Lili
,0.309027778,,,,FOUL by Johnson Kaylee (P1T2)
MISSED LAYUP by Simon Kristen,0.3,,,,BLOCK by McCall Erica
,0.299305556,,,,REBOUND (DEF) by Johnson Kaylee
,0.295833333,42498,V,3,GOOD! JUMPER by Thompson Lili [FB/PNT]
,0.295833333,,,,ASSIST by Samuelson Karlie
MISSED JUMPER by Edwards Sadie,0.281944444,,,,REBOUND (DEF) by Johnson Kaylee
FOUL by Edwards Sadie (P2T2),0.277777778,42499,V,4,GOOD! FT SHOT by McCall Erica
,0.277777778,42500,V,5,GOOD! FT SHOT by McCall Erica
SUB IN : Lloyd Alexis,0.277777778,,,,
SUB OUT: Edwards Sadie,0.277777778,,,,
MISSED LAYUP by Fagbenle Temi,0.263888889,,,,REBOUND (DEF) by Johnson Kaylee
,0.251388889,,,,MISSED JUMPER by McCall Erica
,0.251388889,,,,REBOUND (OFF) by Johnson Kaylee
REBOUND (DEF) by Mazyck Aliyah,0.233333333,,,,MISSED 3 PTR by Samuelson Karlie
,0.23125,,,,FOUL by Samuelson Karlie (P1T3)
,0.23125,,,,SUB IN : McPhee Brittany
,0.23125,,,,SUB OUT: Samuelson Karlie
MISSED LAYUP by Simon Kristen,0.219444444,,,,REBOUND (DEF) by Johnson Kaylee
,0.203472222,42502,V,7,GOOD! LAYUP by Sniezek Marta [PNT]
TIMEOUT 30sec,0.197916667,,,,
MISSED 3 PTR by Mazyck Aliyah,0.186111111,,,,REBOUND (DEF) by Johnson Kaylee
,0.161805556,,,,TURNOVR by (TEAM)
MISSED JUMPER by Mazyck Aliyah,0.150694444,,,,REBOUND (DEF) by Thompson Lili
,0.135416667,,,,MISSED JUMPER by McCall Erica
,0.135416667,,,,REBOUND (OFF) by McPhee Brittany
REBOUND (DEF) by Mazyck Aliyah,0.131944444,,,,MISSED 3 PTR by McPhee Brittany
,0.123611111,,,,FOUL by Sniezek Marta (P1T4)
SUB IN : Taito Khaedin,0.123611111,,,,
SUB OUT: Mazyck Aliyah,0.123611111,,,,
MISSED JUMPER by Lloyd Alexis,0.115972222,,,,
REBOUND (OFF) by Lloyd Alexis,0.115972222,,,,
GOOD! LAYUP by Simon Kristen [PNT],0.109027778,42563,V,5,
ASSIST by Fagbenle Temi,0.109027778,,,,
,0.1,,,,MISSED LAYUP by Thompson Lili
,0.1,,,,REBOUND (OFF) by (TEAM)
,0.099305556,,,,SUB IN : Samuelson Karlie
,0.099305556,,,,SUB OUT: Sniezek Marta
STEAL by Simon Kristen,0.097222222,,,,TURNOVR by McPhee Brittany
MISSED LAYUP by Lloyd Alexis,0.085416667,,,,BLOCK by McPhee Brittany
